Path,Extension,TopLevelArea,LineCount,NonblankNoncommentLineCount,Category,CurrentRole,MainLine,DirectCallers,DynamicCallRisk,TestCoverage,DocumentationReferences,Decision,TargetPathOrReplacement,Risk,RequiredValidation,Evidence,Notes
app/adapters/guiRunMRLFEModel.m,.m,app,130,115,application/interface line,"mRLFE surface adapter",1,analysis/execution_profiles/benchmarkMRLFEExecutionProfiles.m;analysis/execution_profiles/validateExecutionProfileMatrix.m;analysis/repository_audit/buildRepositoryDensityAudit.m;app/LambFundamental_GUI.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/gui/test_gui_normalized_adapters_smoke.m;tests/app/gui/test_mrlfe_main_gui_characterization.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/app/gui/test_mrlfe_main_gui_result_contract.m;tests/app/gui/test_mrlfe_main_gui_uses_public_solver.m;tests/app/sweeps/test_mrlfe_sweep_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_legacy_cleanup_characterization.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/models/mrlfe/test_mrlfe_production_core_contract.m;tests/runners/run_gui_smoke_tests.m,explicit dynamic reference,tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/gui/test_gui_normalized_adapters_smoke.m;tests/app/gui/test_mrlfe_main_gui_characterization.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/app/gui/test_mrlfe_main_gui_result_contract.m;tests/app/gui/test_mrlfe_main_gui_uses_public_solver.m;tests/app/sweeps/test_mrlfe_sweep_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_legacy_cleanup_characterization.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/models/mrlfe/test_mrlfe_production_core_contract.m;tests/runners/run_gui_smoke_tests.m,docs/models/mrlfe/README.md;docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/gui/adapter_architecture.md;docs/workflows/gui/mrlfe_atlas_policy_integration.md;docs/workflows/sweeps/sweep_tool_usage.md,refactor,thin orchestrator plus shared request/result metadata helpers,high,"surface public-solver test plus parity characterization",git-tracked; exact token callers=17; test references=13; documentation references=8,""
app/adapters/guiRunMRLFESweep.m,.m,app,159,145,application/interface line,"mRLFE surface adapter",1,analysis/repository_audit/buildRepositoryDensityAudit.m;app/sweep/guiRunSweep.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/app/sweeps/test_mrlfe_sweep_metadata_and_mapping.m;tests/app/sweeps/test_mrlfe_sweep_point_characterization.m;tests/app/sweeps/test_mrlfe_sweep_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/runners/run_gui_smoke_tests.m,explicit dynamic reference,tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/app/sweeps/test_mrlfe_sweep_metadata_and_mapping.m;tests/app/sweeps/test_mrlfe_sweep_point_characterization.m;tests/app/sweeps/test_mrlfe_sweep_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/runners/run_gui_smoke_tests.m,docs/models/mrlfe/README.md;docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/gui/adapter_architecture.md;docs/workflows/gui/mrlfe_atlas_policy_integration.md;docs/workflows/sweeps/sweep_tool_usage.md,refactor,thin orchestrator plus shared request/result metadata helpers,high,"surface public-solver test plus parity characterization",git-tracked; exact token callers=10; test references=8; documentation references=8,""
app/mrlfeBuildSurfaceExecutionMetadata.m,.m,app,86,78,supporting evidence,"mRLFE-related tracked artifact",0,app/adapters/guiFitMRLFESolver.m;app/adapters/guiRunMRLFEModel.m;app/adapters/guiRunMRLFESweep.m,none found,,docs/repository/mrlfe_line_and_repository_cleanup_report.md;docs/repository/mrlfe_line_and_repository_density_audit.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=3; test references=0; documentation references=2,""
app/mrlfeResolveExecutionProfile.m,.m,app,107,95,supporting evidence,"mRLFE-related tracked artifact",0,analysis/execution_profiles/benchmarkMRLFEExecutionProfiles.m;analysis/performance/run_execution_profile_regression_smoke.m;analysis/repository_audit/buildRepositoryDensityAudit.m;app/FitTool_GUI.m;app/adapters/guiFitMRLFESolver.m;app/adapters/guiRunMRLFESweep.m;tests/app/execution_profiles/test_execution_profile_cleanup_contract.m;tests/app/execution_profiles/test_execution_profile_diagnostics_format.m;tests/app/execution_profiles/test_execution_profile_state_transition_contract.m;tests/app/execution_profiles/test_execution_profile_surface_integration.m;tests/app/execution_profiles/test_model_execution_profile_resolvers.m;tests/runners/run_gui_smoke_tests.m,explicit dynamic reference,tests/app/execution_profiles/test_execution_profile_cleanup_contract.m;tests/app/execution_profiles/test_execution_profile_diagnostics_format.m;tests/app/execution_profiles/test_execution_profile_state_transition_contract.m;tests/app/execution_profiles/test_execution_profile_surface_integration.m;tests/app/execution_profiles/test_model_execution_profile_resolvers.m;tests/runners/run_gui_smoke_tests.m,docs/repository/mrlfe_line_and_repository_density_audit.md;docs/validation/execution_profile_end_to_end_validation.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=12; test references=6; documentation references=2,""
docs/models/mrlfe/README.md,.md,docs,55,38,documentation,"index",1,,none,not applicable,README.md;docs/README.md;docs/models/acoustoelastic_iop_hgo/documentation_index.md;docs/models/mrlfe/diagnostics/README.md;docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md;docs/project/README.md;docs/project/templates/codex_task.md;docs/project/templates/new_chat_bootstrap.md;docs/project/templates/session_closeout.md;docs/repository/maintained_entrypoints.md;docs/repository/repository_hygiene_plan.md;docs/repository/repository_structure.md;docs/repository/test_runner_ownership.md;docs/repository/validation_status.md;tests/README.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=15,""
docs/models/mrlfe/current_sweeps.md,.md,docs,32,22,documentation,"active validation procedure",1,,none,not applicable,docs/README.md;docs/models/mrlfe/README.md;docs/repository/maintained_entrypoints.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=3,""
docs/models/mrlfe/diagnostics/README.md,.md,docs,14,10,documentation,"index",1,,none,not applicable,README.md;docs/README.md;docs/models/acoustoelastic_iop_hgo/documentation_index.md;docs/models/mrlfe/README.md;docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md;docs/project/README.md;docs/project/templates/codex_task.md;docs/project/templates/new_chat_bootstrap.md;docs/project/templates/session_closeout.md;docs/repository/maintained_entrypoints.md;docs/repository/repository_hygiene_plan.md;docs/repository/repository_structure.md;docs/repository/test_runner_ownership.md;docs/repository/validation_status.md;tests/README.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=15,""
docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md,.md,docs,38,29,documentation,"active usage guide",0,,none,not applicable,docs/README.md;docs/models/mrlfe/diagnostics/README.md;docs/repository/maintained_entrypoints.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=3,""
docs/models/mrlfe/fitting_workflow.md,.md,docs,140,99,documentation,"active validation procedure",1,,none,not applicable,docs/README.md;docs/models/acoustoelastic_iop_hgo/README.md;docs/models/acoustoelastic_iop_hgo/active/README.md;docs/models/acoustoelastic_iop_hgo/documentation_index.md;docs/models/mrlfe/README.md;docs/models/mrlfe/diagnostics/README.md;docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md;docs/models/rayleigh_lamb/public_api.md;docs/project/README.md;docs/project/active_context.md;docs/repository/maintained_entrypoints.md;docs/workflows/fitting/README.md;docs/workflows/fitting/architecture.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=13,""
docs/models/mrlfe/production_core.md,.md,docs,197,152,documentation,"active contract",1,,none,not applicable,docs/models/mrlfe/README.md;docs/models/mrlfe/diagnostics/README.md;docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md;docs/project/README.md;docs/project/active_context.md;docs/workflows/gui/adapter_architecture.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=6,""
docs/models/mrlfe/public_api.md,.md,docs,294,227,documentation,"active contract",1,,none,not applicable,docs/README.md;docs/models/acoustoelastic_iop_hgo/README.md;docs/models/acoustoelastic_iop_hgo/active/README.md;docs/models/acoustoelastic_iop_hgo/documentation_index.md;docs/models/mrlfe/README.md;docs/models/mrlfe/diagnostics/README.md;docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md;docs/models/rayleigh_lamb/overview.md;docs/project/README.md;docs/project/active_context.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/repository/repository_structure.md;docs/repository/validation_status.md;docs/workflows/gui/adapter_architecture.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=14,""
docs/repository/mrlfe_line_and_repository_cleanup_report.md,.md,docs,70,56,documentation,"active cleanup closeout",1,,none,not applicable,docs/project/active_context.md;docs/project/session_handoff.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=2,""
docs/repository/mrlfe_line_and_repository_density_audit.md,.md,docs,515,415,documentation,"active architecture/diagnostic plan",1,,none,not applicable,docs/README.md;docs/repository/repository_hygiene_plan.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=2,""
docs/validation/mrlfe_execution_profile_benchmark.md,.md,docs,32,24,documentation,"active validation procedure",1,,none,not applicable,docs/README.md;docs/architecture/decisions/ADR-002-execution-profile-semantics.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=2,""
docs/validation/mrlfe_grid_presets.md,.md,docs,108,72,documentation,"active validation procedure",1,,none,not applicable,docs/models/mrlfe/README.md;docs/repository/validation_status.md;docs/workflows/fitting/architecture.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=3,""
docs/validation/mrlfe_robust_start.md,.md,docs,88,64,documentation,"active validation procedure",1,,none,not applicable,,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=0,""
docs/workflows/gui/mrlfe_atlas_policy_integration.md,.md,docs,351,255,documentation,"active validation procedure",1,,none,not applicable,docs/README.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/sweeps/sweep_tool_usage.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=4,""
examples/mrlfe/basic/compare_mrlfe_elastic_vs_visco_cp.m,.m,examples,260,218,examples and diagnostics,"executable example or diagnostic",0,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,none found,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,README.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=1; test references=1; documentation references=1,""
examples/mrlfe/basic/run_mrlfe_prototype.m,.m,examples,59,48,examples and diagnostics,"executable example or diagnostic",0,,none found,,,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=0; test references=0; documentation references=0,""
examples/mrlfe/diagnostics/README.md,.md,examples,29,23,documentation,"index",1,,none,not applicable,README.md;docs/README.md;docs/models/acoustoelastic_iop_hgo/documentation_index.md;docs/models/mrlfe/README.md;docs/models/mrlfe/diagnostics/README.md;docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md;docs/project/README.md;docs/project/templates/codex_task.md;docs/project/templates/new_chat_bootstrap.md;docs/project/templates/session_closeout.md;docs/repository/maintained_entrypoints.md;docs/repository/repository_hygiene_plan.md;docs/repository/repository_structure.md;docs/repository/test_runner_ownership.md;docs/repository/validation_status.md;tests/README.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=16,""
examples/mrlfe/diagnostics/archive/compare_mrlfe_tracker_vs_condition_peaks.m,.m,examples,277,230,one-off investigation,"pre-public-route numerical investigation",0,analysis/repository_audit/buildRepositoryDensityAudit.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,explicit dynamic reference,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,,archive,docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=1; documentation references=0,""
examples/mrlfe/diagnostics/archive/diagnose_mrlfe_gui_performance_32kHz.m,.m,examples,189,157,one-off investigation,"pre-public-route numerical investigation",0,analysis/repository_audit/buildRepositoryDensityAudit.m,explicit dynamic reference,,,archive,docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md,low,"startup resolution and focused manual execution",git-tracked; exact token callers=1; test references=0; documentation references=0,""
examples/mrlfe/diagnostics/archive/diagnose_mrlfe_visco_residual_landscape.m,.m,examples,324,281,one-off investigation,"pre-public-route numerical investigation",0,analysis/repository_audit/buildRepositoryDensityAudit.m,explicit dynamic reference,,,archive,docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md,low,"startup resolution and focused manual execution",git-tracked; exact token callers=1; test references=0; documentation references=0,""
examples/mrlfe/diagnostics/archive/diagnose_mrlfe_visco_validity_breakdown.m,.m,examples,228,186,one-off investigation,"pre-public-route numerical investigation",0,analysis/repository_audit/buildRepositoryDensityAudit.m,explicit dynamic reference,,,archive,docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md,low,"startup resolution and focused manual execution",git-tracked; exact token callers=1; test references=0; documentation references=0,""
examples/mrlfe/diagnostics/archive/stress_test_mrlfe_real_k_range.m,.m,examples,308,264,one-off investigation,"pre-public-route numerical investigation",0,analysis/repository_audit/buildRepositoryDensityAudit.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,explicit dynamic reference,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,,archive,docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=1; documentation references=0,""
examples/mrlfe/diagnostics/diagnose_mrlfe_atlas_primary_policy_matrix.m,.m,examples,89,66,repeatable diagnostic,"maintained atlas-policy contract diagnostic",0,analysis/repository_audit/buildRepositoryDensityAudit.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,explicit dynamic reference,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,README.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_cleanup_report.md;examples/mrlfe/diagnostics/README.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=1; documentation references=4,""
examples/mrlfe/diagnostics/diagnose_mrlfe_fit_performance.m,.m,examples,95,80,performance characterization,"consolidated public-route fit and cache diagnostic",0,analysis/repository_audit/buildRepositoryDensityAudit.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,explicit dynamic reference,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m,README.md;docs/models/mrlfe/diagnostics/tracker_diagnostic_summary.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_cleanup_report.md;examples/mrlfe/diagnostics/README.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=1; documentation references=5,""
examples/mrlfe/diagnostics/run_mrlfe_targeted_grid_validation.m,.m,examples,194,174,repeatable diagnostic,"current public preset validation",0,analysis/repository_audit/buildRepositoryDensityAudit.m,explicit dynamic reference,,README.md;docs/repository/maintained_entrypoints.md;docs/validation/mrlfe_grid_presets.md;examples/mrlfe/diagnostics/README.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=1; test references=0; documentation references=4,""
examples/mrlfe/diagnostics/validate_grid_presets.m,.m,examples,327,286,repeatable diagnostic,"current public preset validation",0,analysis/repository_audit/buildRepositoryDensityAudit.m;examples/mrlfe/diagnostics/validate_grid_presets_full.m,explicit dynamic reference,,README.md;docs/repository/maintained_entrypoints.md;docs/validation/mrlfe_robust_start.md;examples/mrlfe/diagnostics/README.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=0; documentation references=4,""
examples/mrlfe/diagnostics/validate_grid_presets_full.m,.m,examples,56,41,repeatable diagnostic,"current public preset validation",0,analysis/repository_audit/buildRepositoryDensityAudit.m,explicit dynamic reference,,README.md;docs/repository/maintained_entrypoints.md;examples/mrlfe/diagnostics/README.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=1; test references=0; documentation references=3,""
examples/mrlfe/fitting/fit_mrlfe_A0Like.m,.m,examples,76,60,examples and diagnostics,"executable example or diagnostic",0,,none found,,README.md;docs/repository/maintained_entrypoints.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=0; test references=0; documentation references=2,""
examples/mrlfe/sweeps/mrlfe_sweep_etaS_A0Like.m,.m,examples,24,14,examples and diagnostics,"executable example or diagnostic",0,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,README.md;docs/models/mrlfe/current_sweeps.md;docs/repository/maintained_entrypoints.md;docs/workflows/sweeps/parametric_sweeps.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=2; documentation references=4,""
examples/mrlfe/sweeps/mrlfe_sweep_etaS_S0Like.m,.m,examples,24,14,examples and diagnostics,"executable example or diagnostic",0,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,README.md;docs/models/mrlfe/current_sweeps.md;docs/repository/maintained_entrypoints.md;docs/workflows/sweeps/parametric_sweeps.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=2; documentation references=4,""
examples/mrlfe/sweeps/mrlfe_sweep_mu_A0Like.m,.m,examples,24,14,examples and diagnostics,"executable example or diagnostic",0,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,README.md;docs/models/mrlfe/current_sweeps.md;docs/repository/maintained_entrypoints.md;docs/workflows/sweeps/parametric_sweeps.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=2; documentation references=4,""
examples/mrlfe/sweeps/mrlfe_sweep_mu_S0Like.m,.m,examples,24,14,examples and diagnostics,"executable example or diagnostic",0,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,README.md;docs/models/mrlfe/current_sweeps.md;docs/repository/maintained_entrypoints.md;docs/workflows/sweeps/parametric_sweeps.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=2; documentation references=4,""
examples/mrlfe/sweeps/mrlfe_sweep_thickness_A0Like.m,.m,examples,24,14,examples and diagnostics,"executable example or diagnostic",0,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,README.md;docs/models/mrlfe/current_sweeps.md;docs/repository/maintained_entrypoints.md;docs/workflows/sweeps/parametric_sweeps.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=2; documentation references=4,""
examples/mrlfe/sweeps/mrlfe_sweep_thickness_S0Like.m,.m,examples,6,5,examples and diagnostics,"executable example or diagnostic",0,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,README.md;docs/models/mrlfe/current_sweeps.md;docs/repository/maintained_entrypoints.md;docs/workflows/sweeps/parametric_sweeps.md,retain,,low,"startup resolution and focused manual execution",git-tracked; exact token callers=2; test references=2; documentation references=4,""
models/mrlfe/api/mrlfeDefaultOptions.m,.m,models,14,12,main production line,"public API or production solver helper",1,models/mrlfe/configuration/mrlfeResolveConfiguration.m;tests/models/mrlfe/test_mrlfe_public_contract_defaults.m;tests/runners/run_mrlfe_public_contract_tests.m,none found,tests/models/mrlfe/test_mrlfe_public_contract_defaults.m;tests/runners/run_mrlfe_public_contract_tests.m,docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md,retain,,high,"public contract, production core, quick smoke",git-tracked; exact token callers=3; test references=2; documentation references=2,""
models/mrlfe/api/mrlfeDefaultParameters.m,.m,models,12,10,main production line,"public API or production solver helper",1,analysis/mrlfe/mrlfeBuildPublicSolveRequest.m;models/mrlfe/configuration/mrlfeResolveConfiguration.m;tests/models/mrlfe/test_mrlfe_public_contract_defaults.m;tests/runners/run_mrlfe_public_contract_tests.m,none found,tests/models/mrlfe/test_mrlfe_public_contract_defaults.m;tests/runners/run_mrlfe_public_contract_tests.m,docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md,retain,,high,"public contract, production core, quick smoke",git-tracked; exact token callers=4; test references=2; documentation references=2,""
